source_surface_longitude,Br,R^2
73.18904340314248,2.75,1.0031519399039828
73.21649822095951,3.13,1.0031507502435886
73.26225624128831,3.44,1.003148767436378
73.30801424990757,3.56,1.0031467845793067
73.3537722468171,3.14,1.003144801672372
73.40410602988783,2.6100000000000003,1.0031426204169203
73.45443979891292,3.05,1.0031404391016434
73.50019775841027,2.57,1.0031384560351897
73.54595570625048,2.79,1.0031364729188907
73.59171364237243,2.99,1.0031344897527483
73.64204735855178,3.2199999999999998,1.0031323082121884
73.69238106069267,3.25,1.0031301266118238
73.73813895942308,2.69,1.0031281432862205
73.7838968464691,2.31,1.00312615991079
73.83423050866988,1.98,1.0031239781400236
73.88456415685555,1.44,1.003121796309478
73.9303220065242,2.75,1.0031198127746297
73.98065562758515,2.86,1.0031176308285206
74.0218376707985,2.7,1.0031158455555114
74.07217126617317,2.925,1.003113663499831
74.12250484753869,2.84,1.0031114813843944
74.16826263649472,2.24,1.0031094975905763
74.21402041374839,1.9,1.0031075137469694
74.25977817933416,1.73,1.0031055298535754
74.31011170794471,1.76,1.0031033475130953
74.36044522255209,2.4,1.0031011651128827
74.40620295079958,0.43,1.003099181060204
74.45196066735086,0.56,1.0030971969577531
74.49771837226662,1.08,1.0030952128055366
74.54805183414827,1.5,1.003093030180377
74.59838528202235,1.28,1.0030908474955116
74.64414294959042,1.37,1.0030888631840755
74.68990060552817,0.98,1.003086878822894
74.735658249777,1.62,1.0030848944119677
74.78599164495333,1.8599999999999999,1.003082711502255
74.83632502612653,2.26,1.0030805285328597
74.8820826330781,2.59,1.0030785439627865
74.92784022838956,1.21,1.0030765593429902
74.97359781200792,-2.34,1.0030745746734735
75.0285068967778,-2.7199999999999998,1.0030721930034345
75.07426445501851,-2.85,1.0030702082255438
75.11087049302962,-2.7,1.0030686203666472
75.16120378309415,-3.125,1.003066437008481
75.21611281076835,-3.09,1.0030640550948955
75.26187032103303,-1.4449999999999998,1.003062070112247
75.31220356891482,-0.6,1.0030598865741966
75.35796105471609,0.06,1.003057901487212
75.40371852886216,0.21,1.0030559163505548
75.44947599138175,0.08,1.003053931164224
75.49523344225132,0.1,1.0030519459282292
75.55014236793792,0.07,1.0030495635794796
75.59132405068362,-0.36500000000000005,1.0030477767687598
75.65080868817617,0.85,1.0030451957544018
75.68741460884009,0.47,1.0030436073947977
75.73774773753584,-0.12000000000000001,1.0030414233482179
75.78808085227344,0.79,1.0030392392420755
75.83383821704267,0.41,1.0030372536387038
75.87959557021158,0.38,1.0030352679857055
75.92535291171006,0.08,1.0030332822830912
75.9756859738851,0.53,1.003031097952661
76.02601902211238,1.57,1.0030289135627002
76.0717763264279,1.71,1.0030269277013404
76.11753361912163,1.63,1.003024941790382
76.1632909001645,0.81,1.0030229558298307
76.21362389585093,1.385,1.0030207712157067
76.26395687760925,2.17,1.0030185865420878
76.30971412147517,1.31,1.003016600422881
76.35547135372865,1.11,1.0030146142541072
76.40122857439582,2.63,1.003012628035769
76.45156150362651,2.58,1.0030104431381117
76.50189441892347,2.36,1.0030082581809916
76.54765160240682,2.71,1.0030062718040915
76.59340877427998,2.12,1.003004285377651
76.64374164987525,2.245,1.003002100251107
76.69407451153003,2.07,1.0029999150651314
76.7398316462638,1.75,1.0029979284802049
76.78558876939414,1.18,1.002995941845762
76.83134588089187,0.12,1.0029939551618097
76.88167869011724,-0.375,1.0029917697520405
76.93201148539269,-0.69,1.002989584282874
76.97776855977332,1.73,1.0029875974405351
77.03267703350998,2.22,1.002985213163418
77.06928267375957,-0.96,1.002983623607406
77.11961541662006,2.09,1.002981437914587
77.16994814556753,1.71,1.0029792521624066
77.21570515967413,1.84,1.0029772650628153
77.2614621621744,1.5,1.002975277913769
77.30721915305668,1.01,1.0029732907152806
77.35755182963429,2.535,1.0029711047395926
77.40788449226595,2.92,1.002968918704584
77.45364144608648,1.93,1.0029669313479086
77.49939838833792,1.45,1.0029649439418145
77.5451553189765,1.24,1.0029629564863058
77.59548792926826,1.1400000000000001,1.0029607702279377
77.64582052564839,1.8,1.0029585839102884
77.69157741924653,2.17,1.0029565962967006
77.73733430125458,3.45,1.00295460863373
77.78309117170272,3.3,1.0029526209213766
77.8334237157288,3.0999999999999996,1.0029504343805193
77.88375624588033,3.48,1.00294824778042
77.92951307929515,2.91,1.0029462599101038
77.97526990112357,1.92,1.002944271990431
78.02102671136852,1.75,1.0029422840214155
78.07593486839318,2.59,1.0029398983934694
78.12169165319096,-0.47,1.0029379103159226
78.16744842642385,-0.09,1.0029359221890486
78.21320518809326,0.13,1.002933934012862
78.25896193818438,0.48,1.0029319457873624
78.30929434988575,0.21,1.0029297586821273
78.35962674771426,0.59,1.0029275715177384
78.40538346082967,0.67,1.0029255831345
78.45114016236198,0.63,1.0029235947019832
78.49689685235194,-0.4,1.0029216062201944
78.54722919793176,-0.665,1.0029194188330808
78.59756152964817,-0.07,1.002917231386854
78.64331818265651,-0.15,1.0029152427474464
78.6890748241425,-0.43,1.0029132540587942
78.73483145405078,0.05,1.0029112653209062
78.78973939468973,-0.43,1.0029088787704628
78.83549599919564,0.3,1.002906889924284
78.8812525921571,0.78,1.002904901028896
78.92700917357428,1.03,1.0029029120843047
78.97276574342179,0.06,1.0029009230905137
79.02309795689635,-0.02,1.0028987351402914
79.07343015652278,0.7,1.0028965471310518
79.11918668944415,0.78,1.002894557979886
79.16494321083228,0.75,1.0028925687795605
79.2106997207132,1.1,1.002890579530076
79.26103186817643,2.035,1.002888391298629
79.31136400180252,3.24,1.0028862030082148
79.3571204747517,2.4,1.0028842136014802
79.40287693617158,2.19,1.0028822241456232
79.45320903035903,1.85,1.0028800356872076
79.5035411107015,2.12,1.0028778471698594
79.54929753523676,1.39,1.0028758575568602
79.59505394824839,1.68,1.0028738678947708
79.64081034972169,2.2,1.0028718781835946
79.6911423779955,2.24,1.0028696894443758
79.74147439241554,2.55,1.0028675006462804
79.7872307570264,3.33,1.002865510778093
79.83298711010755,3.27,1.0028635208608585
79.87874345168945,3.26,1.0028615308945854
79.92907541407163,2.62,1.0028593418748049
79.97940736262308,2.59,1.0028571527961985
80.02516366735037,2.95,1.0028551626730493
80.07091996056667,2.96,1.0028531725008945
80.11667624228926,2.55,1.0028511822797412
80.167008138799,2.4450000000000003,1.002848992979645
80.21734002150373,2.47,1.0028468036207776
80.26309626640891,3.63,1.002844813242887
80.30885249976785,3.61,1.0028428228160358
80.35460872163871,3.26,1.002840832340229
80.40494055237019,3.275,1.002838642760072
80.4552723692729,3.06,1.0028364531211866
80.50102855434913,2.97,1.002834462488786
80.5467847279182,2.47,1.0028324718074737
80.5925408900061,2.54,1.002830481077247
80.64287265495986,1.52,1.002828291217277
80.69320440612267,0.7,1.0028261012986384
80.73896053142553,0.99,1.0028241104119642
80.78014103431268,0.885,1.0028223185719305
80.83047274753591,1.11,1.0028201284920102
80.8808044467753,-0.10499999999999998,1.0028179383524938
80.93113613220603,-0.49,1.0028157481543625
80.9768921977978,-0.16,1.0028137570136522
81.02264825186334,-0.38,1.0028117658241178
81.06840429446501,-0.86,1.0028097745857671
81.11873592801194,-1.3199999999999998,1.0028075841669664
81.16906754777068,-2.14,1.002805393689612
81.21482355340957,-2.375,1.0028034022941341
81.26057954801888,-2.59,1.0028014108518322
81.30633553094805,-2.52,1.002799419359788
81.35666709883955,-2.26,1.0027972286619755
81.40699865298336,-2.36,1.0027950379056665
81.45275459918047,-1.97,1.002793046257624
81.49851053392545,-0.78,1.002791054560855
81.54426645719049,0.25,1.0027890628153648
81.59459795949185,0.115,1.0027868718388189
81.64492944802535,-2.09,1.0027846808038388
81.69068533461056,-2.41,1.0027826889025069
81.73644120973505,-2.45,1.0027806969524968
81.78219707340429,-2.66,1.0027787049538182
81.83252851012884,-2.235,1.0027765136988251
81.88285993312175,-2.57,1.0027743223854533
81.92861576010277,-1.98,1.0027723302310945
81.97437157566331,-1.81,1.002770338028104
82.02470295947545,-1.2799999999999998,1.0027681465484215
82.07503432954705,-1.53,1.002765955010406
82.1207901084703,-1.4,1.002763962651871
82.1665458759168,-1.35,1.002761970244748
82.21230163191846,-1.76,1.002759977789046
82.2672085240228,-2.55,1.002757586778099
82.31296425482319,-2.77,1.0027555942155608
82.35871997422541,-3.01,1.0027536016044758
82.40447568194497,-3.55,1.002751608943887
82.45023137867001,-3.7,1.002749616236712
82.5005626315654,-3.485,1.0027474242014762
82.55089387072347,-3.33,1.0027452321080337
82.59664953061424,-3.39,1.0027432392446751
82.64240517911996,-3.42,1.0027412463328342
82.6881608161506,-3.5,1.0027392533725206
82.73849200364174,-3.6550000000000002,1.0027370610599606
82.78882317741903,-3.45,1.0027348686892574
82.8345787778846,-3.33,1.0027328755739038
82.88033436691019,-2.9,1.00273088241012
82.92608994452763,-2.88,1.0027288891979154
82.97642106667236,-3.45,1.00272669660834
83.02675217508576,-3.22,1.0027245039606891
83.0725077161752,-3.13,1.0027225105936182
83.11826324580437,-3.43,1.0027205171781737
83.1640187640317,-3.12,1.0027185237143648
83.21434982086075,-3.275,1.0027163308480886
83.26468086396478,-2.75,1.0027141379238007
83.3104363457025,-2.73,1.0027121443053035
83.35619181599016,-3.49,1.002710150638486
83.40194727485436,-2.81,1.002708156923363
83.45227826641391,-2.71,1.0027059637807023
83.50260924427347,-3.03,1.0027037705801032
83.54836466664449,-2.85,1.0027017767104711
83.59412007764156,-2.59,1.002699782792576
83.63987547720963,0.11,1.002697788826433
83.6902064035375,-1.52,1.0026955954077146
