source_surface_longitude,vp
83.55758149581179,288.71141
83.59646314303323,284.203
83.64274801819852,284.242615
83.68902985742571,284.04645
83.73715974132654,283.24954
83.78528633106126,283.7128
83.83340961705133,286.45825
83.89997857922728,290.83110999999997
83.9283740100732,287.00983
83.9569996017341,285.11186499999997
91.13641946952632,355.64049
91.16754074355556,401.21207
91.21513501793233,335.63043
91.26272570232936,336.6156
91.31031279461295,335.9249
91.35789629250098,385.92838
91.4054761940946,347.70593
91.45305249712862,341.3998
91.5006251993588,351.5262
91.54819430117142,357.8573
91.59575979541408,354.30002
91.64332168241376,356.88974
91.6908799598154,363.00214
91.73843462835642,362.84174
91.7859856831335,381.47858
91.83170443596302,403.34310500000004
91.88107693983756,356.6616
91.92861713755718,372.65176
91.9761537152486,352.63837
92.02368666834394,362.55316
92.07121599456138,355.9594
92.11874169168372,368.0413
92.16626375740844,360.31204
92.21378218975931,355.9176
92.26129698644424,357.4297
92.3088081451272,355.37192
92.3563156638233,350.85294
92.40564653939255,368.94681
92.4513197748132,368.1156
92.50064307849695,356.20335
92.54630929881536,356.86707
92.59379858398027,378.18417
92.6412842182674,400.5068
92.6887661971145,404.65683
92.73807053132258,373.36964
92.78737092130382,369.85068
92.83484163814408,357.93137
92.88230868785968,350.25888
92.92977207332194,381.6901
92.97723178689554,364.16336
93.02468783190308,395.03174
93.07214020330252,376.75372
93.11958889625932,382.2215
93.16703391364116,374.98508
93.2144752508399,360.93494
93.26191290546213,371.51743
93.3093468751668,398.70428
93.35860132287425,383.78933
93.40237971744622,376.38541
93.45162665324486,385.17676
93.49904585853125,357.26675
93.54646137310056,354.98447
93.59387318654596,370.20682
93.64128129952933,373.42618
93.69050887913917,374.33995
93.73973246845615,364.05713
93.78712918055174,346.7826
93.83452218546712,346.97543
93.8819114756412,359.8727
93.92929705123548,385.93066
93.9766789128378,391.89825
94.02405705281598,408.65744
94.0732534871967,372.540985
94.12062404032632,390.803665
94.16616913862632,393.8591
94.2135323797946,393.58777
94.26089189037124,384.40054
94.3082476709416,377.97992
94.3555997138152,378.034
94.40476903027248,375.20901000000003
94.45393432174592,368.8176
94.5012748550613,373.946
94.54861164650482,357.6763
94.5959446936348,365.38293
94.64327398916528,369.99222
94.69059953330314,370.00366
94.73792132367694,384.0417
94.78523935787229,387.6991
94.83255363119072,380.26746
94.8798641464312,387.7521
94.9271708984513,435.01083
94.97629315258078,388.22511
95.02541134907712,379.5319
95.07270650538184,377.89148
95.12181671260211,382.50778
95.16728550302064,375.2095
95.21456933460505,384.74564
95.26184938643895,390.84512
95.30912565903265,387.0185
95.35639814213816,374.9314
95.40366684103522,373.69717
95.45093175105193,377.5257
95.50001052366426,369.28674
95.5490852106131,368.14938
95.59633844455448,370.14392
95.64358787736178,372.04016
95.69083351175814,370.8407
95.7380753400096,378.1276
95.78531336002985,392.69135
95.83254757193676,399.50803
95.87977797054596,389.11407
95.92700455637278,423.55307
95.97604350588404,410.48647500000004
96.02507834133702,403.95023
96.07229317225024,392.12976
96.11950418063869,417.12448
96.16671135880368,403.5483
96.21391470939147,397.04672
96.2611142224891,392.55786
96.30830989814882,402.3029
96.35550173917277,411.55624
96.40631941991106,434.63046
96.45350327338838,399.4315
96.50068327444592,398.79105
96.54785942573092,406.0399
96.59503172244654,405.25198
96.64220015428414,397.66824
96.68936472403549,426.47452
96.7365254239362,410.12103
96.78549589705807,400.289735
96.83446219348052,390.16058
96.90172734497187,382.72586
96.92926580819343,380.178895
96.9582194265719,384.83673
103.74149950021936,428.84408499999995
103.78626072048172,426.05795
103.8328082163144,425.72455
103.88114149112192,431.71410000000003
103.9294701819697,435.06152
103.97600457047984,425.9399
104.02432422983424,427.734915
104.07263929317176,431.80154
104.11916055241488,422.84067
104.16567753795862,432.4486
104.21397911133056,413.978665
104.26227607321556,419.41574
104.3087798934713,426.48184
104.35706778048225,436.767015
104.40535105167076,433.43402
104.45184167659716,432.48642
104.50011585141557,422.377615
104.54838540066577,425.93488
104.5948628028803,420.1171
104.64312323796307,434.88390000000004
104.6913790353693,432.67667
104.73784318717529,418.68298
104.78608985395465,416.07460000000003
104.8343318735296,415.51297
104.88078274710696,431.2936
104.92901561426449,419.7092
104.97724382450188,446.53506
105.02368139476032,425.68542
105.07190043341407,422.90698
105.12011481052215,422.8872
105.16653904192584,438.1363
105.21474422831548,421.53936999999996
105.26294473808984,430.69562
105.30935561035729,432.1187
105.35754691153937,422.821655
105.40394891623967,455.25198
105.4521310086947,434.68124
105.50030839414845,427.15173
105.54848108577096,422.8132
105.5948651530441,416.82053
105.64302859468266,422.38
105.69297089430265,412.97494500000005
105.73755795379778,417.29694
105.78570742235664,430.47803
105.83385217481,429.84555
105.88020932139098,426.14722
105.92834479119756,421.127
105.9764755324199,424.8072
106.02460153263345,459.168315
106.07094061238385,433.16958999999997
106.1190573128784,422.96655
106.16716926332171,420.64982499999996
106.2152764684478,435.7253
106.26159743305674,426.05377
106.30969529649559,414.026215
106.35778840962638,418.1623
106.40409579463872,454.7212
106.45217954885645,428.27936
106.5002585427795,438.35007
106.54655231673544,426.25983
106.59462193045833,452.47245999999996
106.64268677123982,448.96173
106.69074682356504,496.207045
